season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
6,7,The One Where Phoebe Runs,11 Nov. 1999,8.3,3917,Rachel is embarrassed by Phoebe's odd running style. Joey gets a new roommate. Chandler tries to impress Monica by cleaning the apartment but forgets how everything is supposed to look.
6,8,The One with Ross' Teeth,18 Nov. 1999,8.5,4068,Ross goes too far while trying to impress a date by over-whitening his teeth. Rachel uses gossip to get her boss to like her after Phoebe supposedly makes out with Ralph Lauren.
6,9,The One Where Ross Got High,25 Nov. 1999,9.2,5506,Ross is forced to reveal the reason why Jack and Judy don't like Chandler. Rachel tries to make dessert for the gang. Joey and Ross try to get out of Thanksgiving when they are invited to hang out with Janine and her dancer friends.
6,10,The One with the Routine,16 Dec. 1999,8.6,4185,"On the set of ""Dick Clark's New Year's Rockin' Eve"", Joey tries to kiss Janine at midnight and Monica and Ross resurrect their dance routine from high school. Meanwhile, Rachel, Phoebe and Chandler look for Monica's Christmas presents."
6,11,The One with the Apothecary Table,6 Jan. 2000,8.1,3827,"Joey is caught in the middle when Janine tells him she doesn't like Monica and Chandler. Meanwhile, Rachel buys an apothecary table from a store that Phoebe hates."
6,12,The One with the Joke,13 Jan. 2000,8.0,3760,"Chandler and Ross argue over a joke. Meanwhile, Joey reluctantly takes a waiter job at Central Perk, and Monica becomes annoyed when Phoebe says she would choose Rachel over her as a girlfriend."
6,13,The One with Rachel's Sister,3 Feb. 2000,8.2,3924,"Rachel's younger sister arrives in New York and goes on a date with Ross. Meanwhile, Monica won't admit that she is sick."
6,14,The One Where Chandler Can't Cry,10 Feb. 2000,8.5,3981,"Rachel tries to end the spark between Ross and Jill. When Chandler admits that he can't cry, Monica tries to make it happen. The gang discovers that Phoebe's sister, Ursula, is a porn star and is using Phoebe's name."
6,15,The One That Could Have Been: Part 1,17 Feb. 2000,8.5,4100,Barry and Mindy's impending divorce prompts the gang to fantasize about what their lives might be like if they'd all taken different courses.
6,16,The One That Could Have Been: Part 2,17 Feb. 2000,8.5,4016,The gang continue to think about how different their lives could have been.
